,No.,Name,Position,Height,Points,Assists,Ds,Turns,url,Team,Seed,UpperName
17,27,Ashlin Joye,,,4.0,4.0,2.0,1.0,/events/teams/?EventTeamId=gsaIZ1LjfQoUWQLO8o%2ffAESHaFwygFnckkPFxWDBdNU%3d,Revolver,3,ASHLIN JOYE
18,32,Jordan Marcy,Defense (Handler),,10.0,3.0,1.0,1.0,/events/teams/?EventTeamId=gsaIZ1LjfQoUWQLO8o%2ffAESHaFwygFnckkPFxWDBdNU%3d,Revolver,3,JORDAN MARCY
19,33,Mark Lin,Mid,"6'0""",4.0,,,,/events/teams/?EventTeamId=gsaIZ1LjfQoUWQLO8o%2ffAESHaFwygFnckkPFxWDBdNU%3d,Revolver,3,MARK LIN
20,48,Nicholas Murphy,,,2.0,3.0,1.0,1.0,/events/teams/?EventTeamId=gsaIZ1LjfQoUWQLO8o%2ffAESHaFwygFnckkPFxWDBdNU%3d,Revolver,3,NICHOLAS MURPHY
21,49,Nick Tolfa,,"6'0""",1.0,,,,/events/teams/?EventTeamId=gsaIZ1LjfQoUWQLO8o%2ffAESHaFwygFnckkPFxWDBdNU%3d,Revolver,3,NICK TOLFA
22,88,Byron Liu,Defense (Cutter),"5'9""",1.0,3.0,,2.0,/events/teams/?EventTeamId=gsaIZ1LjfQoUWQLO8o%2ffAESHaFwygFnckkPFxWDBdNU%3d,Revolver,3,BYRON LIU
23,93,Tom Doi,Mid,"5'10""",10.0,4.0,1.0,3.0,/events/teams/?EventTeamId=gsaIZ1LjfQoUWQLO8o%2ffAESHaFwygFnckkPFxWDBdNU%3d,Revolver,3,TOM DOI
24,94,Adam Rees,,,3.0,2.0,1.0,2.0,/events/teams/?EventTeamId=gsaIZ1LjfQoUWQLO8o%2ffAESHaFwygFnckkPFxWDBdNU%3d,Revolver,3,ADAM REES
0,0,Josh Kautz,Cutter,"6'2""",,,,,/events/teams/?EventTeamId=tpX1qXSm%2b6F59BHAg67ZFNKHV%2bd1SZdanS%2feYOiK%2bXk%3d,Sub Zero,9,JOSH KAUTZ
1,1,Ryan Osgar,Cutter,"6'1""",9.0,27.0,1.0,6.0,/events/teams/?EventTeamId=tpX1qXSm%2b6F59BHAg67ZFNKHV%2bd1SZdanS%2feYOiK%2bXk%3d,Sub Zero,9,RYAN OSGAR
2,2,Logan Pruess,,,2.0,,2.0,2.0,/events/teams/?EventTeamId=tpX1qXSm%2b6F59BHAg67ZFNKHV%2bd1SZdanS%2feYOiK%2bXk%3d,Sub Zero,9,LOGAN PRUESS
3,3,Colin Berry,Defense (Cutter),"6'3""",,1.0,3.0,3.0,/events/teams/?EventTeamId=tpX1qXSm%2b6F59BHAg67ZFNKHV%2bd1SZdanS%2feYOiK%2bXk%3d,Sub Zero,9,COLIN BERRY
4,4,Gregory Cousins,Cutter,"5'10""",3.0,4.0,2.0,3.0,/events/teams/?EventTeamId=tpX1qXSm%2b6F59BHAg67ZFNKHV%2bd1SZdanS%2feYOiK%2bXk%3d,Sub Zero,9,GREGORY COUSINS
5,5,Charles McCutcheon,Defense (Cutter),"1'0""",3.0,1.0,2.0,2.0,/events/teams/?EventTeamId=tpX1qXSm%2b6F59BHAg67ZFNKHV%2bd1SZdanS%2feYOiK%2bXk%3d,Sub Zero,9,CHARLES MCCUTCHEON
6,6,Charles Weinberg,Cutter,"6'0""",6.0,4.0,,5.0,/events/teams/?EventTeamId=tpX1qXSm%2b6F59BHAg67ZFNKHV%2bd1SZdanS%2feYOiK%2bXk%3d,Sub Zero,9,CHARLES WEINBERG
7,8,Nicholas Vogt,Cutter,"6'1""",14.0,2.0,1.0,2.0,/events/teams/?EventTeamId=tpX1qXSm%2b6F59BHAg67ZFNKHV%2bd1SZdanS%2feYOiK%2bXk%3d,Sub Zero,9,NICHOLAS VOGT
8,10,Anthony Poletto,Handler,"10'11""",1.0,1.0,,1.0,/events/teams/?EventTeamId=tpX1qXSm%2b6F59BHAg67ZFNKHV%2bd1SZdanS%2feYOiK%2bXk%3d,Sub Zero,9,ANTHONY POLETTO
9,13,Cole Jurek,Cutter,"5'11""",3.0,4.0,2.0,2.0,/events/teams/?EventTeamId=tpX1qXSm%2b6F59BHAg67ZFNKHV%2bd1SZdanS%2feYOiK%2bXk%3d,Sub Zero,9,COLE JUREK
10,15,Kristian Johnson,Handler,"5'10""",,,,2.0,/events/teams/?EventTeamId=tpX1qXSm%2b6F59BHAg67ZFNKHV%2bd1SZdanS%2feYOiK%2bXk%3d,Sub Zero,9,KRISTIAN JOHNSON
11,16,Bill Everhart,Mid,"6'1""",1.0,1.0,1.0,1.0,/events/teams/?EventTeamId=tpX1qXSm%2b6F59BHAg67ZFNKHV%2bd1SZdanS%2feYOiK%2bXk%3d,Sub Zero,9,BILL EVERHART
12,17,Ethan Rasmussen,,,,,,,/events/teams/?EventTeamId=tpX1qXSm%2b6F59BHAg67ZFNKHV%2bd1SZdanS%2feYOiK%2bXk%3d,Sub Zero,9,ETHAN RASMUSSEN
13,18,Wystan Duhn,Handler,,1.0,2.0,1.0,1.0,/events/teams/?EventTeamId=tpX1qXSm%2b6F59BHAg67ZFNKHV%2bd1SZdanS%2feYOiK%2bXk%3d,Sub Zero,9,WYSTAN DUHN
14,20,Thomas Echols,Handler/Cutter,,2.0,1.0,2.0,,/events/teams/?EventTeamId=tpX1qXSm%2b6F59BHAg67ZFNKHV%2bd1SZdanS%2feYOiK%2bXk%3d,Sub Zero,9,THOMAS ECHOLS
15,21,Codi Wood,Handler,,,4.0,,5.0,/events/teams/?EventTeamId=tpX1qXSm%2b6F59BHAg67ZFNKHV%2bd1SZdanS%2feYOiK%2bXk%3d,Sub Zero,9,CODI WOOD
16,22,Marco Dregni,Defense (Cutter),"5'10""",,,1.0,,/events/teams/?EventTeamId=tpX1qXSm%2b6F59BHAg67ZFNKHV%2bd1SZdanS%2feYOiK%2bXk%3d,Sub Zero,9,MARCO DREGNI
17,23,Saurav Dubey,,,,,,,/events/teams/?EventTeamId=tpX1qXSm%2b6F59BHAg67ZFNKHV%2bd1SZdanS%2feYOiK%2bXk%3d,Sub Zero,9,SAURAV DUBEY
18,24,Trevor Graham,,,,,,,/events/teams/?EventTeamId=tpX1qXSm%2b6F59BHAg67ZFNKHV%2bd1SZdanS%2feYOiK%2bXk%3d,Sub Zero,9,TREVOR GRAHAM
19,26,Jordan Taylor,Cutter,"6'0""",3.0,1.0,,,/events/teams/?EventTeamId=tpX1qXSm%2b6F59BHAg67ZFNKHV%2bd1SZdanS%2feYOiK%2bXk%3d,Sub Zero,9,JORDAN TAYLOR
20,29,Josh Klane,Handler,"5'9""",5.0,3.0,2.0,2.0,/events/teams/?EventTeamId=tpX1qXSm%2b6F59BHAg67ZFNKHV%2bd1SZdanS%2feYOiK%2bXk%3d,Sub Zero,9,JOSH KLANE
21,32,Andrew Roy,Handler,"6'0""",3.0,2.0,,1.0,/events/teams/?EventTeamId=tpX1qXSm%2b6F59BHAg67ZFNKHV%2bd1SZdanS%2feYOiK%2bXk%3d,Sub Zero,9,ANDREW ROY
22,33,Connor Anderson,Defense (Cutter),,1.0,,,,/events/teams/?EventTeamId=tpX1qXSm%2b6F59BHAg67ZFNKHV%2bd1SZdanS%2feYOiK%2bXk%3d,Sub Zero,9,CONNOR ANDERSON
23,66,Jason Tschida,Handler,,5.0,3.0,,2.0,/events/teams/?EventTeamId=tpX1qXSm%2b6F59BHAg67ZFNKHV%2bd1SZdanS%2feYOiK%2bXk%3d,Sub Zero,9,JASON TSCHIDA
24,71,Nicholas Simonelli,Cutter,"6'0""",10.0,10.0,1.0,1.0,/events/teams/?EventTeamId=tpX1qXSm%2b6F59BHAg67ZFNKHV%2bd1SZdanS%2feYOiK%2bXk%3d,Sub Zero,9,NICHOLAS SIMONELLI
25,92,Kevin Brown,Mid,"6'1""",5.0,7.0,1.0,3.0,/events/teams/?EventTeamId=tpX1qXSm%2b6F59BHAg67ZFNKHV%2bd1SZdanS%2feYOiK%2bXk%3d,Sub Zero,9,KEVIN BROWN
26,99,Tristan Van De Moortele,Handler,"5'9""",2.0,3.0,1.0,2.0,/events/teams/?EventTeamId=tpX1qXSm%2b6F59BHAg67ZFNKHV%2bd1SZdanS%2feYOiK%2bXk%3d,Sub Zero,9,TRISTAN VAN DE MOORTELE
